day,vol,mouse,treatment,start
1,0.02,55,control,d3.s
3,0.07,55,control,d3.s
6,0.23,55,control,d3.s
9,0.3,55,control,d3.s
13,0.75,55,control,d3.s
15,1.34,55,control,d3.s
1,0.02,50,control,d3.s
3,0.04,50,control,d3.s
6,0.18,50,control,d3.s
9,NaN,50,control,d3.s
13,NaN,50,control,d3.s
15,NaN,50,control,d3.s
1,0.01,66,control,d3.s
3,0.05,66,control,d3.s
6,0.15,66,control,d3.s
9,0.34,66,control,d3.s
13,1.49,66,control,d3.s
15,2.64,66,control,d3.s
1,0.01,67,control,d3.s
3,0.01,67,control,d3.s
6,0.07,67,control,d3.s
9,0.18,67,control,d3.s
13,0.52,67,control,d3.s
15,1.16,67,control,d3.s
1,0.02,49,mAB,d3.s
3,0.04,49,mAB,d3.s
6,0.13,49,mAB,d3.s
9,0.18,49,mAB,d3.s
13,0.65,49,mAB,d3.s
15,0.93,49,mAB,d3.s
1,0.01,57,mAB,d3.s
3,0.03,57,mAB,d3.s
6,0.1,57,mAB,d3.s
9,0.12,57,mAB,d3.s
13,0.31,57,mAB,d3.s
15,0.77,57,mAB,d3.s
1,0.01,64,mAB,d3.s
3,0.02,64,mAB,d3.s
6,0.05,64,mAB,d3.s
9,0.07,64,mAB,d3.s
13,0.18,64,mAB,d3.s
15,0.31,64,mAB,d3.s
1,0.02,65,mAB,d3.s
3,0.04,65,mAB,d3.s
6,0.11,65,mAB,d3.s
9,0.08,65,mAB,d3.s
13,0.1,65,mAB,d3.s
15,0.35,65,mAB,d3.s
1,0.02,51,control,d7.s
3,0.05,51,control,d7.s
6,0.28,51,control,d7.s
9,1.09,51,control,d7.s
13,4.85,51,control,d7.s
15,7.09,51,control,d7.s
1,0.01,52,control,d7.s
3,0.01,52,control,d7.s
6,0.11,52,control,d7.s
9,1.22,52,control,d7.s
13,2.42,52,control,d7.s
15,4.66,52,control,d7.s
1,0.01,53,control,d7.s
3,0.02,53,control,d7.s
6,0.1,53,control,d7.s
9,0.58,53,control,d7.s
13,1.21,53,control,d7.s
15,2.09,53,control,d7.s
1,0.01,48,mAB,d7.s
3,0.03,48,mAB,d7.s
6,0.16,48,mAB,d7.s
9,1.05,48,mAB,d7.s
13,1.64,48,mAB,d7.s
15,2.54,48,mAB,d7.s
1,0.01,54,mAB,d7.s
3,0.02,54,mAB,d7.s
6,0.11,54,mAB,d7.s
9,0.89,54,mAB,d7.s
13,1.73,54,mAB,d7.s
15,2.09,54,mAB,d7.s
1,0,56,mAB,d7.s
3,0.02,56,mAB,d7.s
6,0.08,56,mAB,d7.s
9,0.56,56,mAB,d7.s
13,1.09,56,mAB,d7.s
15,1.24,56,mAB,d7.s
1,0.07,6,OVAnoACT,NaN
3,0.15,6,OVAnoACT,NaN
6,0.28,6,OVAnoACT,NaN
9,0.64,6,OVAnoACT,NaN
1,0.17,7,OVAnoACT,NaN
3,0.18,7,OVAnoACT,NaN
6,0.43,7,OVAnoACT,NaN
9,0.69,7,OVAnoACT,NaN
1,0.04,8,OVAnoACT,NaN
3,0.11,8,OVAnoACT,NaN
6,0.32,8,OVAnoACT,NaN
9,1.02,8,OVAnoACT,NaN
11,1.85,8,OVAnoACT,NaN
13,1.52,8,OVAnoACT,NaN
1,0.04,10,OVAnoACT,NaN
3,0.15,10,OVAnoACT,NaN
6,0.32,10,OVAnoACT,NaN
9,1.33,10,OVAnoACT,NaN
11,4.41,10,OVAnoACT,NaN
13,4.84,10,OVAnoACT,NaN
1,0.02,11,OVAnoACT,NaN
3,0.03,11,OVAnoACT,NaN
6,0.11,11,OVAnoACT,NaN
9,0.47,11,OVAnoACT,NaN
13,3.81,11,OVAnoACT,NaN
1,0.02,12,OVAnoACT,NaN
3,0.09,12,OVAnoACT,NaN
6,0.31,12,OVAnoACT,NaN
9,1.86,12,OVAnoACT,NaN
13,8.45,12,OVAnoACT,NaN
1,0.02,1,ACTnoOVA,d3.s
3,0.06,1,ACTnoOVA,d3.s
6,0.37,1,ACTnoOVA,d3.s
9,1.34,1,ACTnoOVA,d3.s
13,6.91,1,ACTnoOVA,d3.s
1,0.01,2,ACTnoOVA,d3.s
3,0.02,2,ACTnoOVA,d3.s
6,0.12,2,ACTnoOVA,d3.s
9,0.88,2,ACTnoOVA,d3.s
13,2.11,2,ACTnoOVA,d3.s
1,0.01,3,ACTnoOVA,d3.s
3,0.04,3,ACTnoOVA,d3.s
6,0.18,3,ACTnoOVA,d3.s
9,0.76,3,ACTnoOVA,d3.s
13,2.34,3,ACTnoOVA,d3.s
1,0.08,4,ACTnoOVA,d3.s
3,0.47,4,ACTnoOVA,d3.s
6,1.49,4,ACTnoOVA,d3.s
9,6.9,4,ACTnoOVA,d3.s
