 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,2144,2144,2144,47.000,250.000,1,1,1
2,0,2094,2094,2094,152.667,246.000,1,4,1
3,0,2369,2369,2369,242.000,204.000,1,5,1
4,0,2306,2306,2306,88.667,160.000,1,9,1
5,0,1419,1419,1419,36.000,231.333,1,10,1
6,0,1809,1809,1809,119.333,266.667,1,11,1
7,0,1760,1760,1760,116.000,240.667,1,14,1
8,0,1857,1857,1857,187.333,284.667,1,7,3
9,0,1372,1372,1372,194.000,253.333,1,8,3
10,0,2061,2061,2061,203.333,231.333,1,11,3
11,0,1611,1611,1611,191.333,206.667,1,12,3
12,0,2404,2404,2404,206.667,186.667,1,10,3
13,0,1793,1793,1793,185.333,186.000,1,14,3
14,0,1611,1611,1611,150.667,163.333,1,15,3
15,0,1577,1577,1577,88.667,150.667,1,15,3
16,0,1008,1008,1008,87.333,170.667,1,15,3
17,0,2024,2024,2024,193.333,277.333,1,6,1
18,0,1777,1777,1777,79.333,330.667,1,7,1
19,0,1491,1491,1491,90.667,352.667,1,8,1
20,0,1614,1614,1614,6.667,348.000,1,8,1
21,0,1846,1846,1846,16.667,325.333,1,9,1
22,0,1718,1718,1718,166.000,269.333,1,1,1
23,0,2392,2392,2392,140.000,349.333,1,6,1
24,0,2134,2134,2134,134.000,338.667,1,6,1
25,0,1611,1611,1611,216.000,315.333,1,8,1
26,0,1892,1892,1892,222.000,308.667,1,8,1
27,0,1940,1940,1940,25.333,290.000,1,12,1
28,0,1765,1765,1765,60.667,249.333,1,15,1
29,0,1192,1192,1192,12.000,262.667,1,15,1
30,0,1136,1136,1136,111.333,82.000,1,15,1
31,0,1792,1792,1792,257.333,237.333,1,1,1
32,0,3486,3486,3486,286.000,184.667,1,1,1
33,0,2079,2079,2079,296.000,169.333,1,3,1
34,0,2367,2367,2367,281.333,155.333,1,5,1
35,0,2537,2537,2537,268.667,223.333,1,6,1
36,0,2443,2443,2443,316.667,116.667,1,1,1
37,0,2473,2473,2473,240.000,161.333,1,11,1
38,0,1307,1307,1307,222.667,88.000,1,10,1
39,0,2514,2514,2514,317.333,91.333,1,10,1
40,0,1685,1685,1685,308.667,105.333,1,12,1
41,0,2164,2164,2164,304.000,234.000,1,13,1
42,0,1841,1841,1841,303.333,209.333,1,13,1
43,0,1637,1637,1637,320.000,231.333,1,15,1
44,0,2751,2751,2751,303.333,294.667,1,11,1
45,0,1462,1462,1462,280.000,274.000,1,12,1
46,0,1813,1813,1813,239.333,247.333,1,13,1
47,0,2298,2298,2298,233.333,220.667,1,12,1
48,0,1651,1651,1651,146.667,292.000,1,11,1
49,0,1759,1759,1759,237.333,293.333,1,10,1
50,0,1886,1886,1886,475.000,204.000,1,2,1
51,0,1847,1847,1847,385.500,201.000,1,6,1
52,0,2464,2464,2464,417.500,181.500,1,6,1
53,0,1803,1803,1803,362.500,191.500,1,6,1
54,0,2517,2517,2517,327.000,120.500,1,8,1
55,0,2176,2176,2176,346.500,110.000,1,7,1
56,0,3400,3400,3400,367.000,63.500,1,5,1
57,0,4461,4461,4461,373.000,63.500,1,6,1
58,0,2343,2343,2343,333.500,180.000,1,8,1
59,0,1980,1980,1980,336.000,160.500,1,9,1
60,0,2133,2133,2133,343.500,151.000,1,9,1
61,0,1530,1530,1530,324.500,142.500,1,9,1
62,0,1262,1262,1262,367.000,147.500,1,15,1
63,0,1973,1973,1973,390.500,218.000,1,15,1
64,0,2937,2937,2937,369.000,211.500,1,10,1
65,0,1647,1647,1647,384.500,147.500,1,10,1
66,0,2477,2477,2477,451.500,143.500,1,9,1
67,0,2756,2756,2756,410.000,34.000,1,9,1
68,0,2376,2376,2376,398.000,43.000,1,9,1
69,0,2244,2244,2244,471.000,102.000,1,7,1
70,0,2270,2270,2270,330.000,70.000,1,11,1
71,0,2288,2288,2288,381.500,61.500,1,13,1
72,0,1495,1495,1495,347.000,138.000,1,5,1
73,0,3038,3038,3038,479.000,362.000,1,1,1
74,0,2669,2669,2669,469.500,292.500,1,1,1
75,0,3100,3100,3100,474.500,333.000,1,6,1
76,0,2735,2735,2735,262.000,305.000,1,6,1
77,0,2614,2614,2614,281.000,392.500,1,9,1
78,0,1692,1692,1692,300.000,285.000,1,9,1
79,0,2007,2007,2007,301.500,301.500,1,10,1
80,0,2046,2046,2046,363.500,314.500,1,13,1
81,0,1844,1844,1844,290.000,364.500,1,5,1
82,0,1649,1649,1649,346.000,466.500,1,13,1
83,0,1380,1380,1380,325.000,447.500,1,14,1
84,0,1537,1537,1537,314.500,459.000,1,14,1
85,0,1653,1653,1653,340.500,433.000,1,14,1
