 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,315,315,315,410,345,1,1,12
2,0,317,317,317,262,373,1,1,12
3,0,306,306,306,188,337,1,2,16
4,0,308,308,308,487,87,1,1,6
5,0,320,320,320,475,64,1,3,13
6,0,314,314,314,449,214,1,6,17
7,0,313,313,313,442,192,1,6,24
8,0,306,306,306,341,164,1,5,23
9,0,316,316,316,307,96,1,9,34
10,0,311,311,311,468,148,1,16,36
11,0,309,309,309,215,30,1,17,3
12,0,309,309,309,391,480,1,16,12
13,0,310,310,310,249,470,1,15,20
14,0,332,332,332,298,362,1,3,20
15,0,311,311,311,332,377,1,3,25
16,0,311,311,311,315,463,1,7,23
17,0,311,311,311,132,267,1,8,18
18,0,311,311,311,409,500,1,10,25
19,0,313,313,313,460,356,1,11,13
20,0,1400,1400,1400,201,373,2,9,29
21,0,1862,1862,1862,179,326,2,5,6
22,0,1423,1423,1423,40,129,2,11,14
23,0,1565,1565,1565,153,117,2,14,24
